"workerid","tested_on","response","check_index","property","correct","condition"
13,0,0,4,"have long legs",1,"memory_check"
13,0,0,5,"have gold spots",1,"memory_check"
13,1,1,6,"hunt other animals",1,"memory_check"
13,0,0,7,"can see at night",1,"memory_check"
13,1,1,8,"get erections",1,"memory_check"
13,0,0,9,"eat plants",1,"memory_check"
14,0,0,0,"have infected scales",1,"memory_check"
14,0,0,1,"have long legs",1,"memory_check"
14,1,0,2,"have very long wings",0,"memory_check"
14,1,0,3,"lay eggs in other birds&quotechar nests",0,"memory_check"
14,0,0,4,"eat plants",1,"memory_check"
14,1,0,5,"eat cannabis",0,"memory_check"
14,0,0,6,"have gold spots",1,"memory_check"
14,1,0,7,"chase their tails",0,"memory_check"
14,0,0,8,"can see at night",1,"memory_check"
14,1,0,9,"live in the hulls of sea vessels",0,"memory_check"
15,0,0,0,"eat plants",1,"memory_check"
15,1,1,1,"are afraid of loud noises",1,"memory_check"
15,1,1,2,"steal farmers&quotechar crops",1,"memory_check"
15,0,0,3,"have long legs",1,"memory_check"
15,0,0,4,"have infected scales",1,"memory_check"
15,1,1,5,"drink alcohol left behind by tourists",1,"memory_check"
15,1,1,6,"swim in shallow pools",1,"memory_check"
15,1,1,7,"eat candy wrappers",1,"memory_check"
15,0,0,8,"can see at night",1,"memory_check"
15,0,0,9,"have gold spots",1,"memory_check"
16,0,0,0,"have gold spots",1,"memory_check"
16,1,1,1,"eat candy wrappers",1,"memory_check"
16,1,1,2,"perform in the circus",1,"memory_check"
16,1,1,3,"capture other animals&quotechar territory",1,"memory_check"
16,0,0,4,"have infected scales",1,"memory_check"
16,0,0,5,"have long legs",1,"memory_check"
16,0,0,6,"can see at night",1,"memory_check"
16,1,1,7,"swim in shallow pools",1,"memory_check"
16,1,1,8,"lose their teeth",1,"memory_check"
16,0,0,9,"eat plants",1,"memory_check"
17,1,1,0,"live to be twenty years old",1,"memory_check"
17,0,0,1,"have gold spots",1,"memory_check"
17,0,0,2,"have infected scales",1,"memory_check"
17,1,1,3,"have brown fur",1,"memory_check"
17,0,0,4,"can see at night",1,"memory_check"
17,1,1,5,"get dandruff",1,"memory_check"
17,0,1,6,"eat plants",0,"memory_check"
17,1,1,7,"lay eggs without needing fertilization",1,"memory_check"
17,1,0,8,"live in zoos",0,"memory_check"
17,0,0,9,"have long legs",1,"memory_check"
18,1,1,0,"have strange genetic mutations",1,"memory_check"
18,0,0,1,"eat plants",1,"memory_check"
18,0,0,2,"can see at night",1,"memory_check"
18,1,1,3,"drink soda",1,"memory_check"
18,1,1,4,"are intelligent",1,"memory_check"
18,1,1,5,"steal farmers&quotechar crops",1,"memory_check"
18,1,1,6,"pound their chests to display dominance",1,"memory_check"
18,0,0,7,"have infected scales",1,"memory_check"
18,0,0,8,"have gold spots",1,"memory_check"
18,0,0,9,"have long legs",1,"memory_check"
19,0,0,0,"eat plants",1,"memory_check"
19,0,0,1,"have gold spots",1,"memory_check"
19,1,1,2,"have strange genetic mutations",1,"memory_check"
19,1,1,3,"get dandruff",1,"memory_check"
19,1,1,4,"have an exquisite sense of smell",1,"memory_check"
19,1,1,5,"attract mates by secreting pheromones",1,"memory_check"
19,0,0,6,"have infected scales",1,"memory_check"
19,0,0,7,"can see at night",1,"memory_check"
19,0,0,8,"have long legs",1,"memory_check"
19,1,1,9,"carry malaria",1,"memory_check"
20,1,1,0,"know how to ride bicycles",1,"memory_check"
20,0,0,1,"have long legs",1,"memory_check"
20,0,0,2,"have infected scales",1,"memory_check"
20,1,1,3,"chase their tails",1,"memory_check"
20,0,0,4,"have gold spots",1,"memory_check"
20,1,1,5,"swim in shallow pools",1,"memory_check"
20,0,0,6,"eat plants",1,"memory_check"
20,1,1,7,"live in urban areas",1,"memory_check"
20,0,0,8,"can see at night",1,"memory_check"
20,1,1,9,"have strange genetic mutations",1,"memory_check"
21,1,1,0,"go bald",1,"memory_check"
21,1,1,1,"eat human food",1,"memory_check"
21,0,0,2,"have long legs",1,"memory_check"
21,1,1,3,"fly into building windows",1,"memory_check"
21,0,0,4,"eat plants",1,"memory_check"
21,0,0,5,"have gold spots",1,"memory_check"
21,1,1,6,"have seizures",1,"memory_check"
21,0,0,7,"have infected scales",1,"memory_check"
21,1,1,8,"have an exquisite sense of smell",1,"memory_check"
21,0,0,9,"can see at night",1,"memory_check"
22,0,0,0,"have gold spots",1,"memory_check"
22,0,0,1,"have infected scales",1,"memory_check"
22,1,1,2,"steal farmers&quotechar crops",1,"memory_check"
22,0,0,3,"eat plants",1,"memory_check"
22,1,1,4,"know how to ride bicycles",1,"memory_check"
22,0,0,5,"have long legs",1,"memory_check"
22,0,0,6,"can see at night",1,"memory_check"
22,1,1,7,"have very long wings",1,"memory_check"
22,1,1,8,"give birth underwater",1,"memory_check"
22,1,1,9,"torture other animals",1,"memory_check"
23,0,0,0,"have long legs",1,"memory_check"
23,1,0,1,"live in urban areas",0,"memory_check"
23,0,1,2,"have gold spots",0,"memory_check"
23,0,0,3,"have infected scales",1,"memory_check"
23,1,0,4,"sleep during the day",0,"memory_check"
23,0,0,5,"eat plants",1,"memory_check"
23,0,0,6,"can see at night",1,"memory_check"
23,1,0,7,"eat garbage",0,"memory_check"
23,1,0,8,"get cancer",0,"memory_check"
23,1,0,9,"ride the subway",0,"memory_check"
24,1,1,0,"drink alcohol left behind by tourists",1,"memory_check"
24,0,0,1,"have infected scales",1,"memory_check"
24,1,1,2,"eat candy wrappers",1,"memory_check"
24,0,0,3,"have gold spots",1,"memory_check"
24,1,1,4,"are afraid of loud noises",1,"memory_check"
24,0,0,5,"eat plants",1,"memory_check"
24,1,1,6,"get cancer",1,"memory_check"
24,0,0,7,"have long legs",1,"memory_check"
24,1,1,8,"know when earthquakes are about to happen",1,"memory_check"
24,0,0,9,"can see at night",1,"memory_check"
25,0,0,0,"can see at night",1,"memory_check"
25,0,0,1,"have gold spots",1,"memory_check"
25,0,0,2,"eat plants",1,"memory_check"
25,1,1,3,"fly into building windows",1,"memory_check"
25,1,1,4,"eat grass",1,"memory_check"
25,0,0,5,"have infected scales",1,"memory_check"
25,1,1,6,"get cancer",1,"memory_check"
25,0,0,7,"have long legs",1,"memory_check"
25,1,1,8,"have personalities",1,"memory_check"
25,1,1,9,"have brown fur",1,"memory_check"
26,0,0,0,"can see at night",1,"memory_check"
26,1,1,1,"have personalities",1,"memory_check"
26,0,0,2,"have gold spots",1,"memory_check"
26,1,1,3,"fly into building windows",1,"memory_check"
26,0,0,4,"have long legs",1,"memory_check"
26,1,1,5,"mourn their dead",1,"memory_check"
26,0,0,6,"have infected scales",1,"memory_check"
26,1,1,7,"give birth underwater",1,"memory_check"
26,0,0,8,"eat plants",1,"memory_check"
26,1,1,9,"know how to ride bicycles",1,"memory_check"
27,0,1,0,"can see at night",0,"memory_check"
27,1,0,1,"like to cuddle",0,"memory_check"
27,1,0,2,"eat people",0,"memory_check"
27,0,0,3,"have infected scales",1,"memory_check"
27,0,0,4,"eat plants",1,"memory_check"
27,1,0,5,"have intensely beautiful feathers",0,"memory_check"
27,0,0,6,"have gold spots",1,"memory_check"
27,1,0,7,"live in high-rise buildings",0,"memory_check"
27,0,0,8,"have long legs",1,"memory_check"
27,1,0,9,"are intelligent",0,"memory_check"
28,1,1,0,"perform in the circus",1,"memory_check"
28,1,1,1,"live in zoos",1,"memory_check"
28,1,1,2,"hunt other animals",1,"memory_check"
28,0,0,3,"have long legs",1,"memory_check"
28,0,0,4,"have gold spots",1,"memory_check"
28,1,1,5,"ride the subway",1,"memory_check"
28,0,0,6,"can see at night",1,"memory_check"
28,0,0,7,"have infected scales",1,"memory_check"
28,1,1,8,"experience emotions",1,"memory_check"
28,0,0,9,"eat plants",1,"memory_check"
29,0,0,0,"have long legs",1,"memory_check"
29,1,1,1,"experience empathy",1,"memory_check"
29,1,1,2,"lay eggs in other birds&quotechar nests",1,"memory_check"
29,0,0,3,"can see at night",1,"memory_check"
29,0,0,4,"eat plants",1,"memory_check"
29,1,1,5,"go bald",1,"memory_check"
29,0,0,6,"have gold spots",1,"memory_check"
29,1,1,7,"give birth underwater",1,"memory_check"
29,1,1,8,"live in trees",1,"memory_check"
29,0,0,9,"have infected scales",1,"memory_check"
30,0,0,0,"eat plants",1,"memory_check"
30,0,0,1,"can see at night",1,"memory_check"
30,1,1,2,"get dandruff",1,"memory_check"
30,1,1,3,"attack hikers",1,"memory_check"
30,0,0,4,"have infected scales",1,"memory_check"
30,1,1,5,"have a menstrual cycle",1,"memory_check"
30,1,1,6,"eat insects",1,"memory_check"
30,1,1,7,"pound their chests to display dominance",1,"memory_check"
30,0,0,8,"have long legs",1,"memory_check"
30,0,0,9,"have gold spots",1,"memory_check"
31,1,1,0,"play with bottlecaps",1,"memory_check"
31,1,1,1,"eat insects",1,"memory_check"
31,0,0,2,"can see at night",1,"memory_check"
31,0,0,3,"eat plants",1,"memory_check"
31,0,0,4,"have long legs",1,"memory_check"
31,0,0,5,"have infected scales",1,"memory_check"
31,1,1,6,"eat people",1,"memory_check"
31,1,1,7,"live to be twenty years old",1,"memory_check"
31,0,0,8,"have gold spots",1,"memory_check"
31,1,1,9,"attract mates by secreting pheromones",1,"memory_check"
32,1,1,0,"live in high-rise buildings",1,"memory_check"
32,0,0,1,"have infected scales",1,"memory_check"
32,0,0,2,"have long legs",1,"memory_check"
32,0,0,3,"can see at night",1,"memory_check"
32,0,0,4,"eat plants",1,"memory_check"
32,0,0,5,"have gold spots",1,"memory_check"
32,1,1,6,"are intelligent",1,"memory_check"
32,1,1,7,"have a menstrual cycle",1,"memory_check"
32,1,1,8,"eat cannabis",1,"memory_check"
32,1,1,9,"have dozens of sexual partners",1,"memory_check"
33,0,0,0,"have infected scales",1,"memory_check"
33,0,0,1,"eat plants",1,"memory_check"
33,0,0,2,"have long legs",1,"memory_check"
33,1,1,3,"live in zoos",1,"memory_check"
33,1,1,4,"live in the hulls of sea vessels",1,"memory_check"
33,0,0,5,"have gold spots",1,"memory_check"
33,1,1,6,"fly into building windows",1,"memory_check"
33,1,1,7,"eat cannabis",1,"memory_check"
33,1,1,8,"have spots",1,"memory_check"
33,0,0,9,"can see at night",1,"memory_check"
34,0,0,0,"eat plants",1,"memory_check"
34,0,0,1,"can see at night",1,"memory_check"
34,1,1,2,"know when earthquakes are about to happen",1,"memory_check"
34,1,1,3,"have spots",1,"memory_check"
34,1,1,4,"pound their chests to display dominance",1,"memory_check"
34,0,0,5,"have gold spots",1,"memory_check"
34,0,0,6,"have infected scales",1,"memory_check"
34,1,1,7,"play with bottlecaps",1,"memory_check"
34,1,1,8,"drink soda",1,"memory_check"
34,0,0,9,"have long legs",1,"memory_check"
35,0,0,0,"eat plants",1,"memory_check"
35,1,1,1,"are afraid of loud noises",1,"memory_check"
35,1,1,2,"eat human food",1,"memory_check"
35,0,0,3,"can see at night",1,"memory_check"
35,1,1,4,"sing beautiful songs",1,"memory_check"
35,1,1,5,"like to cuddle",1,"memory_check"
35,0,0,6,"have long legs",1,"memory_check"
35,0,0,7,"have gold spots",1,"memory_check"
35,1,1,8,"get erections",1,"memory_check"
35,0,0,9,"have infected scales",1,"memory_check"
